Datos del Grafo 1: Fuentes y sumideros que maximizan el flujo,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
7,10,0.053112602,0.046865344,0.021189333,59,5,0.3,0.5,0.084795322,3,0.059060466
10,7,0.053113341,0.046866894,0.017384599,59,5,0.2,0.513513514,0.162646199,3,0.06094301
2,7,0.048426533,0.046863198,0.020308722,56,5,0.2,0.487179487,0.132919103,3,0.060195216
2,10,0.059212708,0.046887994,0.017935117,56,5,0.2,0.487179487,0.132919103,3,0.060195216
7,2,0.049988866,0.046862841,0.019507781,56,5,0.3,0.5,0.084795322,3,0.059060466
10,2,0.112476587,0.101538181,0.041796201,56,5,0.2,0.513513514,0.162646199,3,0.06094301
2,5,0.043740177,0.031281829,0.018198155,51,5,0.2,0.487179487,0.132919103,3,0.060195216
5,2,0.048422861,0.046821952,0.020307273,51,5,0.1,0.5,0.153630604,3,0.062038288
5,7,0.0437392,0.031242847,0.018225618,51,5,0.1,0.5,0.153630604,3,0.062038288
5,10,0.043739438,0.031248689,0.018215252,51,5,0.1,0.5,0.153630604,3,0.062038288
7,5,0.045599747,0.032433271,0.021346248,51,5,0.3,0.5,0.084795322,3,0.059060466
10,5,0.045298862,0.039052725,0.017746674,51,5,0.2,0.513513514,0.162646199,3,0.06094301
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,10,0.045302391,0.039070368,0.017733213,48,4,0.5,0.452380952,0.024975634,3,0.048591383
6,11,0.051553512,0.046856284,0.022140818,48,4,0.5,0.452380952,0.024975634,3,0.048591383
7,6,0.043739986,0.03124392,0.018219108,48,5,0.3,0.5,0.084795322,3,0.059060466
10,6,0.048429132,0.046856046,0.016318201,48,5,0.2,0.513513514,0.162646199,3,0.06094301
11,6,0.052830791,0.046862006,0.018046414,48,4,0.333333333,0.452380952,0.046539961,4,0.048802937
2,15,0.054674387,0.046867013,0.020065763,46,5,0.2,0.487179487,0.132919103,3,0.060195216
2,18,0.04541862,0.039052963,0.017757755,46,5,0.2,0.487179487,0.132919103,3,0.060195216
3,15,0.061056638,0.054694057,0.017742014,46,4,0.333333333,0.441860465,0.060550682,4,0.049679565
3,18,0.056555653,0.046870828,0.020618714,46,4,0.333333333,0.441860465,0.060550682,4,0.049679565
4,15,0.057799006,0.046864986,0.022154544,46,5,0.2,0.5,0.130482456,3,0.059646852
4,18,0.056235909,0.046869755,0.020001924,46,5,0.2,0.5,0.130482456,3,0.059646852
5,15,0.057798576,0.046866298,0.018561045,46,5,0.1,0.5,0.153630604,3,0.062038288
5,18,0.054674911,0.04686892,0.02005812,46,5,0.1,0.5,0.153630604,3,0.062038288
6,15,0.054671645,0.046865702,0.024452861,46,4,0.5,0.452380952,0.024975634,3,0.048591383
6,18,0.060922885,0.054682493,0.017739549,46,4,0.5,0.452380952,0.024975634,3,0.048591383
7,15,0.045302248,0.039055943,0.017740231,46,5,0.3,0.5,0.084795322,3,0.059060466
7,18,0.049583936,0.046862125,0.015430366,46,5,0.3,0.5,0.084795322,3,0.059060466
10,15,0.045299911,0.039054871,0.01774809,46,5,0.2,0.513513514,0.162646199,3,0.06094301
10,18,0.051810694,0.04685843,0.022098784,46,5,0.2,0.513513514,0.162646199,3,0.06094301
11,15,0.059360933,0.046879172,0.020718198,46,4,0.333333333,0.452380952,0.046539961,4,0.048802937
11,18,0.043800473,0.031523108,0.018183663,46,4,0.333333333,0.452380952,0.046539961,4,0.048802937
15,2,0.057127905,0.046865225,0.017321224,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,3,0.060922217,0.046903729,0.021468843,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,4,0.05779891,0.046882391,0.018541789,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,5,0.058056498,0.046885014,0.018413053,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,6,0.062481642,0.054692745,0.020951437,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,7,0.049992132,0.046859503,0.019518217,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,10,0.04374311,0.031244159,0.021877627,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,11,0.047213864,0.03905499,0.021496904,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,18,0.054181767,0.046869755,0.021918672,46,4,0.333333333,0.431818182,0.078216374,4,0.051899849
18,2,0.050297618,0.046871185,0.020450501,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,3,0.056237173,0.046869278,0.018741575,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,4,0.054059124,0.046863317,0.023107513,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,5,0.059361124,0.046865821,0.018229678,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,6,0.053112459,0.046866179,0.021191209,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,7,0.049987864,0.046846986,0.022947786,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,10,0.056240487,0.04688096,0.020015253,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,11,0.04373951,0.031262517,0.018217376,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,15,0.056236291,0.046875358,0.018745248,46,4,0.333333333,0.431818182,0.043128655,4,0.049682378
2,19,0.049988461,0.046854377,0.020727653,45,5,0.2,0.487179487,0.132919103,3,0.060195216
3,19,0.046863532,0.039060354,0.020952115,45,4,0.333333333,0.441860465,0.060550682,4,0.049679565
4,19,0.04710393,0.03243947,0.024054382,45,5,0.2,0.5,0.130482456,3,0.059646852
5,19,0.051549768,0.046860337,0.01856238,45,5,0.1,0.5,0.153630604,3,0.062038288
6,19,0.051684237,0.046865821,0.022123499,45,4,0.5,0.452380952,0.024975634,3,0.048591383
7,19,0.056233501,0.046862245,0.024402869,45,5,0.3,0.5,0.084795322,3,0.059060466
10,19,0.043739533,0.03125298,0.018219135,45,5,0.2,0.513513514,0.162646199,3,0.06094301
11,19,0.039053392,0.031242371,0.020063757,45,4,0.333333333,0.452380952,0.046539961,4,0.048802937
15,19,0.057798982,0.046886325,0.022134763,45,4,0.333333333,0.431818182,0.078216374,4,0.051899849
18,19,0.040936708,0.031253934,0.018610386,45,4,0.333333333,0.431818182,0.043128655,4,0.049682378
19,2,0.046865249,0.03125298,0.024197021,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,3,0.047001004,0.046862721,0.01699499,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,4,0.050004554,0.046863675,0.019538283,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,5,0.051550698,0.046861529,0.018544963,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,6,0.04998827,0.046858668,0.019513883,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,7,0.04458375,0.031267047,0.019911203,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,10,0.042174053,0.031245828,0.018544504,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,11,0.051860976,0.039051056,0.029141234,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,15,0.056237578,0.046866417,0.018747877,45,4,0.5,0.452380952,0.040692008,3,0.049278739
19,18,0.037487936,0.031244397,0.017393161,45,4,0.5,0.452380952,0.040692008,3,0.049278739
1,2,0.043740392,0.031253934,0.02186924,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,3,0.034367204,0.031239271,0.019513107,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,4,0.042431378,0.031248093,0.015895369,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,5,0.045302343,0.039053559,0.017748869,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,6,0.049987721,0.046880722,0.015317847,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,7,0.049989843,0.046848416,0.022957371,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,9,0.048425794,0.046852231,0.020310106,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,10,0.053112602,0.046865106,0.017397681,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,11,0.043737745,0.031259656,0.018219364,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,15,0.0609236,0.046882391,0.021467349,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,18,0.054675078,0.046869159,0.020055897,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,19,0.048422623,0.046846032,0.020310199,44,4,0.5,0.452380952,0.034478558,3,0.049420697
2,1,0.043740177,0.031260729,0.021869929,44,5,0.2,0.487179487,0.132919103,3,0.060195216
2,9,0.043738699,0.031262875,0.018207258,44,5,0.2,0.487179487,0.132919103,3,0.060195216
3,1,0.035929322,0.031236649,0.022150579,44,4,0.333333333,0.441860465,0.060550682,4,0.049679565
3,9,0.046863484,0.046854973,0.017102601,44,4,0.333333333,0.441860465,0.060550682,4,0.049679565
4,1,0.042177486,0.031247854,0.018550799,44,5,0.2,0.5,0.130482456,3,0.059646852
4,9,0.043739581,0.031242728,0.018223414,44,5,0.2,0.5,0.130482456,3,0.059646852
5,1,0.046864009,0.046849608,0.017108369,44,5,0.1,0.5,0.153630604,3,0.062038288
5,9,0.041959715,0.031237841,0.018690652,44,5,0.1,0.5,0.153630604,3,0.062038288
6,1,0.048202085,0.046862006,0.016346054,44,4,0.5,0.452380952,0.024975634,3,0.048591383
6,9,0.032959628,0.024184823,0.023536735,44,4,0.5,0.452380952,0.024975634,3,0.048591383
7,1,0.042176914,0.031244516,0.018550267,44,5,0.3,0.5,0.084795322,3,0.059060466
7,9,0.037491274,0.031242967,0.017404738,44,5,0.3,0.5,0.084795322,3,0.059060466
9,1,0.050604677,0.046861768,0.024776143,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,2,0.045304322,0.031257749,0.021484161,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,3,0.046861696,0.046849012,0.017115571,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,4,0.046863866,0.046848297,0.017108223,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,5,0.042178321,0.031244874,0.01854833,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,6,0.034617019,0.03123951,0.019887791,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,7,0.039053273,0.031245351,0.020070224,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,10,0.040614867,0.031238437,0.018754894,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,11,0.048978615,0.046869636,0.017349988,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,15,0.054248357,0.046859741,0.024621126,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,18,0.051550341,0.046863914,0.022145269,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,19,0.057798958,0.046872377,0.018549217,44,4,0.5,0.463414634,0.030945419,3,0.048772921
10,1,0.064286065,0.061332345,0.019786906,44,5,0.2,0.513513514,0.162646199,3,0.06094301
10,9,0.04061389,0.031243324,0.018746258,44,5,0.2,0.513513514,0.162646199,3,0.06094301
11,1,0.043739319,0.031276107,0.018210684,44,4,0.333333333,0.452380952,0.046539961,4,0.048802937
11,9,0.048426509,0.046861649,0.016313673,44,4,0.333333333,0.452380952,0.046539961,4,0.048802937
15,1,0.064047623,0.054691195,0.023645691,44,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,9,0.053818417,0.046866179,0.020892897,44,4,0.333333333,0.431818182,0.078216374,4,0.051899849
18,1,0.08279736,0.070311904,0.02798469,44,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,9,0.060054135,0.046865225,0.036068173,44,4,0.333333333,0.431818182,0.043128655,4,0.049682378
19,1,0.054056954,0.04686439,0.018923762,44,4,0.5,0.452380952,0.040692008,3,0.049278739
19,9,0.054673815,0.046864867,0.016008496,44,4,0.5,0.452380952,0.040692008,3,0.049278739
1,8,0.056526756,0.046865344,0.019338462,42,4,0.5,0.452380952,0.034478558,3,0.049420697
1,14,0.049988031,0.046864152,0.022951047,42,4,0.5,0.452380952,0.034478558,3,0.049420697
1,17,0.065608668,0.054697514,0.023989089,42,4,0.5,0.452380952,0.034478558,3,0.049420697
2,8,0.047134852,0.039057374,0.02157047,42,5,0.2,0.487179487,0.132919103,3,0.060195216
2,14,0.042724156,0.031246066,0.018298619,42,5,0.2,0.487179487,0.132919103,3,0.060195216
2,17,0.053111887,0.04686451,0.021181462,42,5,0.2,0.487179487,0.132919103,3,0.060195216
3,8,0.054674673,0.046863675,0.016010209,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
3,14,0.048411965,0.046869516,0.013876238,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
3,17,0.057799768,0.046898246,0.018543404,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
4,8,0.053112221,0.046863079,0.021180743,42,5,0.2,0.5,0.130482456,3,0.059646852
4,14,0.05467577,0.046864867,0.023433053,42,5,0.2,0.5,0.130482456,3,0.059646852
4,17,0.057799935,0.046886325,0.018548893,42,5,0.2,0.5,0.130482456,3,0.059646852
5,8,0.046865225,0.039070606,0.020940181,42,5,0.1,0.5,0.153630604,3,0.062038288
5,14,0.050163031,0.046867132,0.015629134,42,5,0.1,0.5,0.153630604,3,0.062038288
5,17,0.054946566,0.04686749,0.019766421,42,5,0.1,0.5,0.153630604,3,0.062038288
6,8,0.048426723,0.046842456,0.020307338,42,4,0.5,0.452380952,0.024975634,3,0.048591383
6,14,0.048206306,0.046859622,0.020516033,42,4,0.5,0.452380952,0.024975634,3,0.048591383
6,17,0.061225533,0.054697275,0.018308909,42,4,0.5,0.452380952,0.024975634,3,0.048591383
7,8,0.040614605,0.031245947,0.018737321,42,5,0.3,0.5,0.084795322,3,0.059060466
7,14,0.042177606,0.031247258,0.018550282,42,5,0.3,0.5,0.084795322,3,0.059060466
7,17,0.043739343,0.031246781,0.018226342,42,5,0.3,0.5,0.084795322,3,0.059060466
8,1,0.054674673,0.046864271,0.020066184,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,2,0.050435209,0.046859741,0.023430361,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,3,0.054677701,0.046868563,0.016001785,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,4,0.053112793,0.046873093,0.017384004,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,5,0.046864319,0.031244755,0.024202457,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,6,0.047043633,0.046867371,0.017128777,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,7,0.042176628,0.031247377,0.018540074,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,9,0.05935812,0.046870232,0.021860606,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,10,0.058060002,0.048170328,0.031200868,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,11,0.0437428,0.031263709,0.021858758,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,14,0.054923248,0.046880484,0.025351403,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,15,0.050366569,0.046864152,0.022674697,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,17,0.042177892,0.031251907,0.018554238,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,18,0.051550651,0.046881676,0.018539445,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,19,0.056421018,0.046868682,0.019116263,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
9,8,0.056237507,0.046868801,0.0187379,42,4,0.5,0.463414634,0.030945419,3,0.048772921
9,14,0.054675198,0.046865463,0.020076399,42,4,0.5,0.463414634,0.030945419,3,0.048772921
9,17,0.056501126,0.046867728,0.019280887,42,4,0.5,0.463414634,0.030945419,3,0.048772921
10,8,0.043740559,0.031263351,0.018223105,42,5,0.2,0.513513514,0.162646199,3,0.06094301
10,14,0.043742657,0.031275153,0.018227689,42,5,0.2,0.513513514,0.162646199,3,0.06094301
10,17,0.045301414,0.039057016,0.017748786,42,5,0.2,0.513513514,0.162646199,3,0.06094301
11,8,0.043739009,0.03126502,0.018214676,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
11,14,0.042178082,0.031242967,0.022149246,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
11,17,0.04841361,0.045566201,0.020328738,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
14,1,0.051549888,0.046861768,0.018550481,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,2,0.04374125,0.031252623,0.018218549,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,3,0.048425031,0.046860695,0.020309322,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,4,0.051810408,0.046865106,0.018496514,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,5,0.049987459,0.04686594,0.015305866,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,6,0.048961616,0.039054155,0.023659833,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,7,0.042180896,0.031245708,0.018553973,42,4,0.166666667,0.475,0.102826511,3,0.049965649
